,국가(대륙)별,상품군별,판매유형별,시점,데이터
206,미국,아동·유아용품,면세점 이외,2019.1/4,815
207,미국,아동·유아용품,면세점 이외,2019.2/4,1153
208,미국,아동·유아용품,면세점 이외,2019.3/4,1702
209,미국,아동·유아용품,면세점 이외,2019.4/4,1928
210,미국,아동·유아용품,면세점 이외,2020.1/4,945
211,미국,아동·유아용품,면세점 이외,2020.2/4,1344
212,미국,아동·유아용품,면세점 이외,2020.3/4,1243
213,미국,아동·유아용품,면세점 이외,2020.4/4,1402
214,미국,아동·유아용품,면세점 이외,2021.1/4,1973
215,미국,아동·유아용품,면세점 이외,2021.2/4,1678
216,미국,아동·유아용품,면세점 이외,2021.3/4,1492
217,미국,아동·유아용품,면세점 이외,2021.4/4,823
218,미국,아동·유아용품,면세점 이외,2022.1/4,456
219,미국,아동·유아용품,면세점 이외,2022.2/4 p),557
220,미국,음·식료품,면세점 이외,2017.1/4,328
221,미국,음·식료품,면세점 이외,2017.2/4,120
222,미국,음·식료품,면세점 이외,2017.3/4,328
223,미국,음·식료품,면세점 이외,2017.4/4,162
224,미국,음·식료품,면세점 이외,2018.1/4,202
225,미국,음·식료품,면세점 이외,2018.2/4,211
226,미국,음·식료품,면세점 이외,2018.3/4,159
227,미국,음·식료품,면세점 이외,2018.4/4,153
228,미국,음·식료품,면세점 이외,2019.1/4,225
229,미국,음·식료품,면세점 이외,2019.2/4,240
230,미국,음·식료품,면세점 이외,2019.3/4,538
231,미국,음·식료품,면세점 이외,2019.4/4,354
232,미국,음·식료품,면세점 이외,2020.1/4,1164
233,미국,음·식료품,면세점 이외,2020.2/4,473
234,미국,음·식료품,면세점 이외,2020.3/4,466
235,미국,음·식료품,면세점 이외,2020.4/4,603
236,미국,음·식료품,면세점 이외,2021.1/4,603
237,미국,음·식료품,면세점 이외,2021.2/4,701
238,미국,음·식료품,면세점 이외,2021.3/4,956
239,미국,음·식료품,면세점 이외,2021.4/4,927
240,미국,음·식료품,면세점 이외,2022.1/4,1011
241,미국,음·식료품,면세점 이외,2022.2/4 p),972
242,미국,농축수산물,면세점 이외,2017.1/4,1
